roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
L_IFG_triangularis,65,22,20,23,-0.03827635416084107,0.04260136032802687,-0.8984772755169408,58.0,0.3726460331750871,-0.28612697497380296,-0.9103039978439598,0.3380500478963539,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_IFG_opercularis,65,22,20,23,0.0063090353817998775,0.037923157380025836,0.16636366319864634,58.0,0.8684493728257409,0.052979783678114574,-0.5711972391920423,0.6771568065482715,reversed_vs_baseline,motion_clean_n65,0.8684493728257409
L_STS,65,22,20,23,0.03487611174373521,0.05655810402856089,0.6166421654821272,58.0,0.5398837739811063,0.1963744239932861,-0.4278025988768708,0.820551446863443,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_STG_posterior,65,22,20,23,-0.036865031463562535,0.07856833927587026,-0.46920975806961523,58.0,0.6406787811374588,-0.14942344382322398,-0.7736004666933809,0.4747535790469328,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_STG_anterior,65,22,20,23,-0.08601201754565337,0.04784986016620915,-1.7975395799880258,58.0,0.07745608017045581,-0.572440256902142,-1.196617279772299,0.05173676596801493,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_MTG,65,22,20,23,0.032537786044672994,0.05523965602338918,0.5890294832917874,58.0,0.5581287920525478,0.1875809537060279,-0.4365960691641291,0.8117579765761849,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_IFG,65,22,20,23,-0.03511569418700797,0.04920025112815725,-0.7137299786445865,58.0,0.47825650737884906,-0.22729278224671365,-0.8514698051168705,0.3968842406234433,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_Heschl,65,22,20,23,-0.053460135430197155,0.06699444254244927,-0.7979786591451007,58.0,0.4281380386786365,-0.2541224202954636,-0.8782994431656205,0.37005460257469336,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_Heschl,65,22,20,23,-0.03552062705935828,0.05987636451292001,-0.5932328615524696,58.0,0.5553316745243283,-0.18891955173090022,-0.8130965746010571,0.4352574711392566,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_STG_posterior,65,22,20,23,0.022765587597838335,0.04631385227860242,0.49155029171167264,58.0,0.6248924214065485,0.15653795799568826,-0.46763906487446866,0.7807149808658452,words_vs_reversed,motion_clean_n65,0.8125862398928823
